x;y;x;y;x;y;x;y;x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
0;1.1148032e-08;5.9206565e-10;1.0220127e-08;2.5656178e-10;9.3597013e-09;4.1444595e-10;9.4509946e-09;4.7365252e-10;9.7124177e-09;9.07834e-10;9.9476404e-09;1.0459826e-09;1.0253383e-08;
1.9735522e-11;1.1148032e-08;6.1180117e-10;1.0220127e-08;2.762973e-10;9.3597013e-09;4.3418148e-10;9.4509946e-09;4.9338804e-10;9.7124177e-09;9.2756952e-10;9.9476404e-09;1.0657182e-09;1.0253383e-08;
3.9471043e-11;1.1148032e-08;6.3153669e-10;1.0220127e-08;2.9603282e-10;9.3597013e-09;;;5.1312356e-10;9.7124177e-09;9.4730504e-10;9.9476404e-09;1.0854537e-09;1.0253383e-08;
5.9206565e-11;1.1148032e-08;6.5127221e-10;1.0220127e-08;3.1576835e-10;9.3597013e-09;;;5.3285908e-10;9.7124177e-09;9.6704056e-10;9.9476404e-09;1.1051892e-09;1.0253383e-08;
7.8942087e-11;1.1148032e-08;6.7100774e-10;1.0220127e-08;3.3550387e-10;9.3597013e-09;;;5.5259461e-10;9.7124177e-09;9.8677608e-10;9.9476404e-09;;;
9.8677608e-11;1.1148032e-08;6.9074326e-10;1.0220127e-08;3.5523939e-10;9.3597013e-09;;;;;;;;;
1.1841313e-10;1.1148032e-08;7.1047878e-10;1.0220127e-08;;;;;;;;;;;
1.3814865e-10;1.1148032e-08;7.302143e-10;1.0220127e-08;;;;;;;;;;;
;;7.4994982e-10;1.0220127e-08;;;;;;;;;;;
;;7.6968534e-10;1.0220127e-08;;;;;;;;;;;
;;7.8942087e-10;1.0220127e-08;;;;;;;;;;;
;;8.0915639e-10;1.0220127e-08;;;;;;;;;;;
;;8.2889191e-10;1.0220127e-08;;;;;;;;;;;
