x;y;x;y;x;y;x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
0;-4.2031997e-08;0;-4.1523483e-08;0;-4.0805274e-08;0;-4.1317377e-08;0;-4.2418946e-08;0;-4.2075413e-08;
1.9350454e-10;-4.2080925e-08;1.9595037e-10;-4.1762842e-08;1.9070479e-10;-4.0687105e-08;1.9700779e-10;-4.1425701e-08;1.9792479e-10;-4.2128165e-08;1.9167096e-10;-4.2069286e-08;
3.8700909e-10;-4.2237797e-08;3.9190075e-10;-4.2026583e-08;3.8140957e-10;-4.071613e-08;3.9401558e-10;-4.1552127e-08;3.9584957e-10;-4.2137657e-08;3.8334193e-10;-4.2025191e-08;
5.8051363e-10;-4.2298197e-08;5.8785112e-10;-4.211495e-08;5.7211436e-10;-4.1474714e-08;5.9102337e-10;-4.1776187e-08;5.9377436e-10;-4.2123663e-08;5.7501289e-10;-4.2093802e-08;
7.7401818e-10;-4.2201112e-08;7.8380149e-10;-4.2219343e-08;7.6281915e-10;-4.1574278e-08;7.8803116e-10;-4.185447e-08;7.9169915e-10;-4.2133156e-08;7.6668386e-10;-4.2101662e-08;
9.6752272e-10;-4.2307937e-08;9.7975187e-10;-4.2161411e-08;9.5352394e-10;-4.1186654e-08;9.8503895e-10;-4.1856009e-08;9.8962393e-10;-4.1935295e-08;9.5835482e-10;-4.2119726e-08;
1.1610273e-09;-4.2102161e-08;1.1757022e-09;-4.1885049e-08;1.1442287e-09;-4.0979322e-08;1.1820467e-09;-4.1810722e-08;1.1875487e-09;-4.1876427e-08;1.1500258e-09;-4.1820362e-08;
1.3545318e-09;-4.2174426e-08;1.3716526e-09;-4.2161694e-08;1.3349335e-09;-4.1874125e-08;1.3790545e-09;-4.199569e-08;1.3854735e-09;-4.2434299e-08;1.3416968e-09;-4.2505884e-08;
1.5480364e-09;-4.2406469e-08;1.567603e-09;-4.256915e-08;1.5256383e-09;-4.1984024e-08;1.5760623e-09;-4.2508773e-08;1.5833983e-09;-4.3092597e-08;1.5333677e-09;-4.2324525e-08;
1.7415409e-09;-4.3136738e-08;1.7635534e-09;-4.3670799e-08;1.7163431e-09;-4.3727416e-08;1.7730701e-09;-4.3642696e-08;1.7813231e-09;-4.4134873e-08;1.7250387e-09;-4.3793371e-08;
1.9350454e-09;-4.4119542e-08;1.9595037e-09;-4.4016751e-08;1.9070479e-09;-4.3676586e-08;1.9700779e-09;-4.401111e-08;1.9792479e-09;-4.3768726e-08;1.9167096e-09;-4.3682048e-08;
2.12855e-09;-4.379607e-08;2.1554541e-09;-4.3733742e-08;2.0977527e-09;-4.3414105e-08;2.1670857e-09;-4.3715308e-08;2.1771726e-09;-4.3710348e-08;2.1083806e-09;-4.3315351e-08;
2.3220545e-09;-4.3650696e-08;2.3514045e-09;-4.3681841e-08;2.2884574e-09;-4.3379818e-08;2.3640935e-09;-4.3614446e-08;2.3750974e-09;-4.3583905e-08;2.3000516e-09;-4.3171268e-08;
2.5155591e-09;-4.3609593e-08;2.5473549e-09;-4.3664295e-08;2.4791622e-09;-4.3481171e-08;2.5611013e-09;-4.3534343e-08;2.5730222e-09;-4.3456204e-08;2.4917225e-09;-4.3071608e-08;
2.7090636e-09;-4.3565512e-08;2.7433052e-09;-4.3575759e-08;2.669867e-09;-4.3548882e-08;2.7581091e-09;-4.3516093e-08;2.770947e-09;-4.3262641e-08;2.6833935e-09;-4.3245584e-08;
2.9025682e-09;-4.3602636e-08;2.9392556e-09;-4.3496628e-08;2.8605718e-09;-4.3554786e-08;2.9551168e-09;-4.3498467e-08;2.9688718e-09;-4.3132967e-08;2.8750645e-09;-4.3215385e-08;
3.0960727e-09;-4.3662366e-08;3.135206e-09;-4.3548613e-08;3.0512766e-09;-4.3480409e-08;3.1521246e-09;-4.347074e-08;3.1667966e-09;-4.3075899e-08;3.0667354e-09;-4.316265e-08;
3.2895773e-09;-4.3634179e-08;3.3311563e-09;-4.3564176e-08;3.2419814e-09;-4.3314245e-08;3.3491324e-09;-4.3562479e-08;3.3647214e-09;-4.3033338e-08;3.2584064e-09;-4.3289403e-08;
3.4830818e-09;-4.353023e-08;3.5271067e-09;-4.3466804e-08;3.4326862e-09;-4.3373754e-08;3.5461402e-09;-4.3550137e-08;3.5626462e-09;-4.3083639e-08;3.4500774e-09;-4.3300054e-08;
3.6765863e-09;-4.3333025e-08;3.7230571e-09;-4.3482011e-08;3.623391e-09;-4.3442295e-08;3.743148e-09;-4.3446834e-08;;;3.6417483e-09;-4.316427e-08;
3.8700909e-09;-4.3209135e-08;3.9190075e-09;-4.3502342e-08;3.8140957e-09;-4.3485255e-08;3.9401558e-09;-4.3392192e-08;;;3.8334193e-09;-4.2994867e-08;
4.0635954e-09;-4.3167032e-08;4.1149578e-09;-4.3406519e-08;4.0048005e-09;-4.3453468e-08;4.1371636e-09;-4.3318698e-08;;;;;
4.2571e-09;-4.2928925e-08;4.3109082e-09;-4.2830905e-08;4.1955053e-09;-4.3227915e-08;4.3341714e-09;-4.3105126e-08;;;;;
4.4506045e-09;-4.2304512e-08;4.5068586e-09;-4.3084995e-08;4.3862101e-09;-4.2783942e-08;4.5311792e-09;-4.3059982e-08;;;;;
4.6441091e-09;-4.2816207e-08;4.702809e-09;-4.3025477e-08;4.5769149e-09;-4.3152961e-08;4.728187e-09;-4.3223072e-08;;;;;
4.8376136e-09;-4.2904874e-08;4.8987593e-09;-4.3879076e-08;4.7676197e-09;-4.3466244e-08;4.9251947e-09;-4.417294e-08;;;;;
5.0311182e-09;-4.4493769e-08;5.0947097e-09;-4.4602446e-08;4.9583245e-09;-4.4916415e-08;5.1222025e-09;-4.4852745e-08;;;;;
5.2246227e-09;-4.4631461e-08;5.2906601e-09;-4.4147291e-08;5.1490293e-09;-4.4556446e-08;5.3192103e-09;-4.4453083e-08;;;;;
5.4181272e-09;-4.4438942e-08;5.4866105e-09;-4.4199475e-08;5.339734e-09;-4.4500105e-08;5.5162181e-09;-4.4330565e-08;;;;;
5.6116318e-09;-4.4392432e-08;5.6825608e-09;-4.4294298e-08;5.5304388e-09;-4.4532913e-08;5.7132259e-09;-4.4151444e-08;;;;;
5.8051363e-09;-4.4233639e-08;5.8785112e-09;-4.4345626e-08;5.7211436e-09;-4.446434e-08;5.9102337e-09;-4.3971237e-08;;;;;
5.9986409e-09;-4.4030776e-08;6.0744616e-09;-4.4386423e-08;5.9118484e-09;-4.4332331e-08;6.1072415e-09;-4.3887702e-08;;;;;
;;6.270412e-09;-4.4316024e-08;6.1025532e-09;-4.414121e-08;6.3042493e-09;-4.3962057e-08;;;;;
;;6.4663623e-09;-4.4124771e-08;6.293258e-09;-4.4032555e-08;6.5012571e-09;-4.3989077e-08;;;;;
