x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];
1.9700779e-10;-4.1288323e-08;2.3640935e-09;-4.3442713e-08;5.3192103e-09;-4.4490022e-08;
3.9401558e-10;-4.1288323e-08;2.5611013e-09;-4.3442713e-08;5.5162181e-09;-4.4490022e-08;
5.9102337e-10;-4.1288323e-08;2.7581091e-09;-4.3442713e-08;5.7132259e-09;-4.4490022e-08;
7.8803116e-10;-4.1288323e-08;2.9551168e-09;-4.3442713e-08;5.9102337e-09;-4.4490022e-08;
9.8503895e-10;-4.1288323e-08;3.1521246e-09;-4.3442713e-08;6.1072415e-09;-4.4490022e-08;
1.1820467e-09;-4.1288323e-08;3.3491324e-09;-4.3442713e-08;6.3042493e-09;-4.4490022e-08;
;;3.5461402e-09;-4.3442713e-08;6.5012571e-09;-4.4490022e-08;
;;3.743148e-09;-4.3442713e-08;;;
;;3.9401558e-09;-4.3442713e-08;;;
;;4.1371636e-09;-4.3442713e-08;;;
;;4.3341714e-09;-4.3442713e-08;;;
