Δx [pm]	Δy [pm]	φ [deg]	R [pm]	Δz [pm]
3042.87138584	1396.07174296	-24.64569373	3347.84745505	13.36930842
2618.71218974	-1605.08943117	31.50541634	3071.47612961	-6.59955630
140.50822123	1972.70778364	-85.92592701	1977.70537742	-22.51303576
2615.57638394	-1612.19045460	31.64887349	3072.52304827	11.56436063
2629.16402035	-1613.75738961	31.54123064	3084.91756104	-21.32892281
2622.29193531	-1611.71946835	31.57581709	3077.99523044	5.24761460
146.48729447	1978.68568602	-85.76596713	1984.10069590	4.85861214
140.50822123	1981.67463720	-85.94430007	1986.64967419	6.07287930
146.48729447	1972.70778364	-85.75318360	1978.13915766	-21.65367171
3038.88334995	1396.07174296	-24.67418610	3344.22312744	41.01814602
3046.85942173	1392.08296655	-24.55523916	3349.81302785	23.03662491
3046.85942173	1392.08296655	-24.55523916	3349.81302785	14.82295186
